Position,Name,Year,URL,Description
114,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,#700
115,Fargo,1996,https://boxd.it/2aHM,
116,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,#1075
117,The Father,2020,https://boxd.it/m8Ie,
118,Fårö Document,1970,https://boxd.it/9GVg,
119,Fårö Document 1979,1979,https://boxd.it/3XDc,
120,A Few Good Men,1992,https://boxd.it/29nw,
121,Fight Club,1999,https://boxd.it/2a9q,
122,The Firm,1993,https://boxd.it/18JY,
123,A Fish Called Wanda,1988,https://boxd.it/29YC,
124,The Fisher King,1991,https://boxd.it/2aWM,#764
125,A Fistful of Dollars,1964,https://boxd.it/2auo,
126,For All Mankind,1989,https://boxd.it/1Dvy,#54
127,Ford v Ferrari,2019,https://boxd.it/ce74,
128,Forrest Gump,1994,https://boxd.it/728,
129,Foxcatcher,2014,https://boxd.it/35Di,
130,The French Connection,1971,https://boxd.it/296g,
131,From the Life of the Marionettes,1980,https://boxd.it/XBO,
132,Gladiator,2000,https://boxd.it/2b9m,
133,The Gleaners and I,2000,https://boxd.it/S6c,
134,The Gleaners and I: Two Years Later,2002,https://boxd.it/2Xok,
135,The Godfather,1972,https://boxd.it/2aNK,
136,The Godfather: Part II,1974,https://boxd.it/2aNq,
137,Godzilla,2014,https://boxd.it/47OE,
138,Godzilla vs. Kong,2021,https://boxd.it/e0qK,
139,Gone Girl,2014,https://boxd.it/6hQu,
140,GoodFellas,1990,https://boxd.it/29FA,
141,The Graduate,1967,https://boxd.it/18Im,#800
142,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,#1025
143,The Great Dictator,1940,https://boxd.it/29ic,#565
144,The Green Knight,2021,https://boxd.it/kuy2,
145,Hamlet,1964,https://boxd.it/2rhQ,
146,Harakiri,1962,https://boxd.it/1NTU,#302
147,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,
148,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,
149,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,
150,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,
151,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,
152,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,
